,channel_id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,engage1,engage2,engage3,engage4,engage5,engage6,engage7,engage8,engage9,engage10,dur1,dur2,dur3,dur4,dur5,dur6,dur7,dur8,dur9,dur10,duration,no_of_videos,subsCount,title,thumbnail,viewCount,Clickbait_title,Clickbait_thumbnail
0,UC1zZE_kJ8rQHgLTVfobLi_g,42745,206163,149326,132617,186354,291737,207239,309042,192675,280287,0.029851445,0.02064871,0.023117207,0.025622658,0.025553516,0.034952714,0.025521258,0.030173892,0.0286389,0.029234321,10.2,8.15,8.933333333,11.13333333,11.95,14.96666667,11.85,12.1,13.96666667,12.25,17.25,1525,12400000,Why I'm at TKOR,https://i.ytimg.com/vi/LCgPmthpC2w/hqdefault.jpg,139285,1,1
1,UCpVm7bg6pXKo1Pr6k5kxG9A,28869,98463,83194,15905,9551,11575,53867,89053,16390,24744,0.019120856,0.007058489,0.012428781,0.03665514,0.033294943,0.021943844,0.020996157,0.012239902,0.019219036,0.025056579,18.63333333,4.116666667,3.483333333,25.78333333,30.61666667,37.81666667,3.333333333,3.3,31.16666667,3.283333333,5.066666667,10130,21500000,Elephant Cleverly Steals Sugar Cane off a Truck in Thailand | Secrets of the Elephants,https://i.ytimg.com/vi/qsT6dy8PLGk/hqdefault.jpg,264072,1,1
2,UCggHoXaj8BQHIiPmOxezeWA,1470242,1712722,478876,754971,1182122,1978969,1790022,2771459,3274951,1038436,0.029414205,0.031218727,0.035790058,0.034478146,0.034963396,0.027858951,0.03052644,0.028856281,0.024495023,0.039346671,48.55,29.1,40.36666667,31.75,36.38333333,40.41666667,52.26666667,35.4,31.06666667,28.65,39.55,104,1500000,History Buffs: The Bounty,https://i.ytimg.com/vi/jXiedmOUq5I/hqdefault.jpg,521445,1,1
3,UCsooa4yRKGN_zEE8iknghZA,102739,481163,368914,144,704057,1198252,987602,412818,441967,630509,0.041707628,0.048499157,0.051120315,0.104166667,0.033252989,0.044088389,0.038744352,0.044125983,0.043586965,0.033888493,5.8,5.7,6.533333333,5.783333333,5.383333333,5.1,5,4.95,5.4,5.016666667,4.883333333,2043,18500000,Can zoos save species from extinction? - Nigel Rothfels,https://i.ytimg.com/vi/Xj5nH5JtJAQ/hqdefault.jpg,126565,0,1
4,UCXhSCMRRPyxSoyLSPFxK7VA,181258,77071,110696,193948,136194,408614,142050,226492,416111,433302,0.055109292,0.083702041,0.081159211,0.069982676,0.082830374,0.065085876,0.108468849,0.107425428,0.128506576,0.040516776,11.16666667,10.36666667,5.7,10.45,7.883333333,11.48333333,9.283333333,9.566666667,10.95,7.516666667,9.633333333,944,6090000,7 Horrific Fairy Tale Origins That Will Ruin Your Childhood,https://i.ytimg.com/vi/pSHoz0Gd-Ac/hqdefault.jpg,66644,1,1
5,UCGi_crMdUZnrcsvkCa8pt-g,22954,25773,28206,33988,20667,20921,25825,39599,42713,68520,0.026313497,0.05792884,0.052577466,0.061080381,0.087579233,0.0462215,0.071403679,0.042930377,0.040783836,0.026809691,11.28333333,10.38333333,9.916666667,8.533333333,8.45,10.75,10.45,10.11666667,10.3,10.81666667,10.3,1377,5540000,10 Product Launches That Ruined Companies,https://i.ytimg.com/vi/fi9qyBwWWYM/hqdefault.jpg,15481,1,1
6,UCZYTClx2T1of7BRZ86-8fow,246203,126186,144640,370263,193678,389568,191172,259037,163541,239968,0.063260805,0.055798583,0.051465708,0.059198462,0.055974349,0.04292447,0.058287825,0.057875902,0.051766835,0.048168923,7.083333333,6.15,5.633333333,6.766666667,4.166666667,6.35,4.216666667,6.066666667,12.43333333,7.2,10.75,3300,7510000,5 Times We Used Balloons for Space Science,https://i.ytimg.com/vi/TDeDFC0nmwo/hqdefault.jpg,54006,1,1
7,UCHnyfMqiRRG1u-2MsSQLbXA,5114182,7464638,2438321,5509154,2955297,7984611,4579235,18122650,7278449,4530255,0.046902906,0.021851696,0.089483296,0.030909646,0.034475723,0.031082792,0.034701866,0.015347755,0.027369018,0.040166392,24.48333333,23.08333333,10.31666667,13.31666667,21.8,24.65,15.56666667,20.41666667,18.53333333,19.43333333,24.05,362,13600000,Explaining concrete while getting buried in it,https://i.ytimg.com/vi/rWVAzS5duAs/hqdefault.jpg,3354102,1,1
8,UCYenDLnIHsoqQ6smwKXQ7Hg,579476,211887,79729,133216,270080,165669,229061,146142,187706,132318,0.00818153,0.015154304,0.03050333,0.019584735,0.014884479,0.008643741,0.012036095,0.014814359,0.018012211,0.021395426,14.88333333,15.03333333,15.01666667,15.3,15.16666667,20.55,15.25,15.16666667,15.2,15.03333333,14.86666667,751,8360000,When People Had Absolutely Bad Day,https://i.ytimg.com/vi/ULRNi7Ry8z0/hqdefault.jpg,114342,1,1
9,UC4a-Gbdw7vOaccHmFo40b9g,15065,95049,11391,4215,1700,729,740,855,2256,5253,0.016528377,0.009079527,0.01948907,0.019691578,0.021764706,0.013717421,0.018918919,0.024561404,0.039450355,0.01541976,2.583333333,3.716666667,1.316666667,1.466666667,1.7,1.433333333,1.45,2.033333333,2.016666667,3.066666667,1.4,8355,7850000,Introducing Khanmigo Teacher Mode,https://i.ytimg.com/vi/c2fK-hxnPSY/hqdefault.jpg,12521,1,1
10,UCJFp8uSYCjXOMnkUyb3CQ3Q,610123,339761,361458,1327088,1403485,622972,242772,394877,869259,528912,0.025514527,0.023825572,0.013899264,0.005668049,0.006097678,0.034223047,0.025583675,0.039564219,0.039968525,0.035043637,18.86666667,15.45,8.35,22.65,20.45,11.86666667,12.25,11.05,10.35,7.9,12.91666667,4603,21100000,Can Rie Make Lay's India's Magic Masala Chips Fancy?,https://i.ytimg.com/vi/sdubryBISu0/hqdefault.jpg,381599,1,1
11,UCYjk_zY-iYR8YNfJmuzd70A,105633,6974,9943,12671,6683,7848,9863,40409,9219,36957,0.023912982,0.036707772,0.0304737,0.043642964,0.033667515,0.031345566,0.034370881,0.058229602,0.030805944,0.057905133,21.28333333,41.06666667,56.83333333,59.26666667,2.1,57.56666667,7.65,5.783333333,6.366666667,7.016666667,10.55,482,6850000,Harley's First L | Binge Eater Podcast Ep.30,https://i.ytimg.com/vi/nXW5GUF4tCI/hqdefault.jpg,7943,1,1
12,UCpSgg_ECBj25s9moCDfSTsA,143662,112250,153417,190780,176672,295605,69770,282764,360174,235799,0.020019212,0.034512249,0.022383439,0.031381696,0.034657444,0.026122698,0.036333668,0.033448388,0.024041158,0.023626054,6.166666667,6.383333333,6.133333333,4.116666667,3.766666667,7.216666667,4.45,8.166666667,8.466666667,6.166666667,8.083333333,1925,5800000,Gennaro's Perfect Pea Pasta,https://i.ytimg.com/vi/csCo9izJ0-Y/hqdefault.jpg,53645,1,1
13,UCsP7Bpw36J666Fct5M8u-ZA,558435,1127417,691209,400478,1199253,289731,229646,1384565,614249,1212054,0.065774889,0.073275461,0.080372217,0.070248553,0.065779281,0.076802275,0.070473686,0.068433046,0.056060327,0.060564133,17.93333333,16.93333333,11.86666667,11.21666667,24.58333333,9.783333333,21.93333333,22.41666667,12.48333333,16.51666667,10.1,505,4920000,Does water EXPLODE in the microwave?  Debunking fake hacks 2023,https://i.ytimg.com/vi/a5T-TxCKmkY/hqdefault.jpg,586740,1,1
14,UCPWtWU1rfmUVc2ygiYuMrvA,93,93,74,171,1003,262,110,95,155,96,0.043010753,0.053763441,0.067567568,0.023391813,0.037886341,0.038167939,0.054545455,0.042105263,0.051612903,0.0625,1.383333333,1.766666667,1.266666667,3.3,5.083333333,3.783333333,3.7,1.383333333,1.083333333,9.016666667,2.05,207,6980,BG Voice Reel,https://i.ytimg.com/vi/S0dSgwcyDMg/hqdefault.jpg,29,0,1
15,UCNbngWUqL2eqRw12yAwcICg,133998,119639,177855,197646,123582,207631,222660,149457,123963,46784,0.048635054,0.021447856,0.029220432,0.034576971,0.037804858,0.037595542,0.035134285,0.043671424,0.046336407,0.044780267,15.9,6.383333333,8.933333333,18.13333333,13.16666667,11.05,11.58333333,15.41666667,9.733333333,5.6,8.45,1856,3880000,Laura Vitale's Italian Sliders,https://i.ytimg.com/vi/ax7dpirZSBA/hqdefault.jpg,44678,0,1
16,UC8gFadPgK2r1ndqLI04Xvvw,98994,90658,125069,113452,191347,177640,86348,218067,178100,106216,0.053993171,0.049648128,0.050907899,0.056966823,0.058365169,0.048356226,0.052091537,0.040781044,0.047097136,0.035070046,5.65,10.3,10.56666667,10.7,12.43333333,10.75,6.766666667,13.81666667,12.23333333,8.883333333,12.4,507,6230000,Spicy Raw Crab (Yangnyeom-gejang: 양념게장),https://i.ytimg.com/vi/JFDV7fMTCVU/hqdefault.jpg,95350,1,1
